Date,Open,High,Low,Close,Change,%Change,Volume,Value
4/10/2022,40.25,40.75,40,40.25,0,0,"8,826,698","356,197.72"
1/10/2022,41,41.25,40,40.25,-1,-2.42,"13,600,760","551,376.46"
30/09/2022,41.25,42,40.5,41.25,0,0,"14,072,301","578,527.04"
29/09/2022,41.75,42.75,41,41.25,-0.75,-1.79,"14,086,370","590,379.24"
28/09/2022,41.25,42.5,40.75,,0.5,1.2,"21,503,673","895,381.98"
27/09/2022,42.75,43,41,41.5,-1,-2.35,"26,439,262","1,108,865.64"
23/09/2022,40.75,43,38.75,42.5,3,7.59,"64,250,063","2,629,066.48"
22/09/2022,38.75,39.75,38.25,39.5,0.5,1.28,"13,141,387","513,140.60"
21/09/2022,37.5,39,37.5,39,1.5,4,"13,176,475","506,826.64"
20/09/2022,38.25,,37.5,37.5,-1,-2.6,"9,936,448","377,789.60"
17/09/2022,38.5,39,38.25,38.5,0,0,"12,608,646","485,716.65"
16/09/2022,38.5,39.75,38.25,38.5,0,0,"16,643,070","651,525.41"
15/09/2022,38.25,39.25,38.25,38.5,0,0,"4,883,295","188,783.93"
14/09/2022,39,39.25,38.25,38.5,-0.75,-1.91,"8,738,592","337,713.61"
13/09/2022,38.5,39.75,38.25,39.25,0.75,1.95,"10,091,272","393,780.97"
10/9/2022,37.75,39,,38.5,1,2.67,"13,650,976","521,401.16"
9/9/2022,39.25,39.75,37.25,37.5,-1.75,-4.46,"23,885,383","913,967.76"
8/9/2022,38.75,39.5,38,39.25,0.25,0.64,"17,004,644","655,986.51"
7/9/2022,38.25,39.75,38.25,39,1,2.63,"23,293,826","909,883.90"
6/9/2022,38.5,38.75,38,38,-0.5,-1.3,"8,253,569","316,035.50"
3/9/2022,39.5,39.5,38,38.5,-1,-2.53,"14,528,313","560,719.57"
2/9/2022,39.5,40.5,39.25,39.5,0.5,1.28,"30,485,218","1,214,296.80"
1/9/2022,37.25,39.25,37.25,39,2,5.41,"39,569,596","1,516,279.08"
31/08/2022,36.75,,36,37,0.25,0.68,"21,577,298","794,537.75"
30/08/2022,36,36.75,36,36.75,0.75,2.08,"14,080,615","514,021.46"
27/08/2022,35.75,36.75,35.5,36,0.5,1.41,"20,839,567","755,939.53"
26/08/2022,35.75,36,35,35.5,-0.25,-0.7,"13,067,644","462,406.46"
25/08/2022,35.5,36.25,,35.75,0.25,0.7,"12,945,618","463,037.67"
24/08/2022,35.75,36.25,35,35.5,0,0,"14,904,281","530,308.14"
23/08/2022,,36,34.5,35.5,-1,-2.74,"37,194,440","1,317,225.69"
20/08/2022,34,36.5,33.75,36.5,2.75,8.15,"50,544,199","1,798,764.76"
19/08/2022,34,34.25,33.5,33.75,-0.25,-0.74,"7,497,611","253,609.77"
18/08/2022,34.25,34.5,33.75,34,-0.25,-0.73,"14,894,154","507,133.25"
17/08/2022,34.25,34.25,33.5,34.25,0,0,"9,142,092","310,150.77"
16/08/2022,34,34.5,33.75,34.25,0.25,0.74,"10,567,685","361,047.69"
13/08/2022,33.75,,33.5,,0.25,0.74,"14,400,673","488,833.87"
11/8/2022,35,35.25,32.75,33.75,-1,-2.88,"30,172,945","1,019,292.78"
10/8/2022,34.5,35.5,34.25,34.75,0.25,0.72,"12,763,443","446,120.39"
9/8/2022,34.75,35,34,34.5,0,0,"11,170,627","386,217.46"
6/8/2022,,35.5,33.75,34.5,-1,-2.82,"20,757,274","715,745.92"
5/8/2022,36.25,37,35,35.5,-0.5,-1.39,"18,415,622","659,698.93"
4/8/2022,36,36.5,35,36,-0.25,-0.69,"24,893,852","888,297.85"
3/8/2022,37.5,37.5,35.5,,-1.25,-3.33,"37,616,139","1,363,626.82"
2/8/2022,37.75,37.75,36,37.5,-0.25,-0.66,"28,670,728","1,063,705.41"
30/07/2022,35.75,39.5,34.75,37.75,2,5.59,"113,519,076","4,192,953.97"
29/07/2022,32.5,36.75,32.5,35.75,3.75,11.72,"118,982,539","4,148,675.33"
27/07/2022,32.5,32.75,31.5,32,-0.5,-1.54,"11,685,326","373,981.59"
23/07/2022,32.5,32.75,32,32.5,-0.25,-0.76,"14,321,345","463,912.00"
22/07/2022,33,33,32.25,32.75,0.25,0.77,"12,928,464","422,884.00"
21/07/2022,32,32.75,31.5,,0.75,2.36,"17,485,184","564,101.48"
20/07/2022,31.25,32,31,31.75,0.75,2.42,"17,461,295","551,335.11"
19/07/2022,31,,30.25,31,1.25,4.2,"22,593,510","698,966.89"
16/07/2022,29.5,29.75,29.25,29.75,0,0,"7,397,079","218,720.12"
15/07/2022,29.75,30,29.5,29.75,0,0,"4,348,088","129,300.46"
14/07/2022,30.25,30.25,29.5,29.75,-0.25,-0.83,"5,142,921","152,945.17"
13/07/2022,29.75,30.25,29.5,30,0.5,1.69,"4,865,908","145,626.16"
12/7/2022,30,30.25,29.25,29.5,-0.5,-1.67,"7,375,005","217,972.68"
9/7/2022,,30,29,30,1,3.45,"11,858,772","348,963.73"
8/7/2022,30.25,30.25,28.75,29,-1.25,-4.13,"17,348,133","510,880.17"
7/7/2022,30.25,30.5,30,30.25,0,0,"5,371,345","162,887.58"
6/7/2022,30,30.5,,30.25,0.25,0.83,"9,174,788","277,439.00"
5/7/2022,30.25,30.25,30,30,-0.25,-0.83,"2,922,943","87,898.41"
2/7/2022,30.5,30.5,30,30.25,-0.25,-0.82,"5,661,274","171,191.96"
1/7/2022,30.5,30.75,30.25,30.5,0,0,"6,775,028","206,702.26"
